CreatedOn	po_number	Status	SourcePrimaryKey	Created	CreatedBy	Source
2024-06-10 19:42:13	ZE345051	processed	N2000990959	Automatic		Dentira
2024-06-10 19:39:42	ZE345045	processed	N2000990953	Automatic		Dentira
2024-06-10 19:03:35	ZE100356	processed	N2000990884	Manual	Sonja Knight	Dentira
2024-06-10 18:57:09	ZE345021	processed	N2000990872	Automatic		Dentira
2024-06-10 18:51:29	ZE345017	processed	N2000990866	Automatic		Dentira
2024-06-10 18:35:45	ZE345014	processed	N2000990833	Automatic		Dentira
2024-06-10 18:33:50	ZE345008	processed	N2000990812	Automatic		Dentira
2024-06-10 18:18:08	ZE344877	processed	N2000990773	Automatic		Dentira
2024-06-10 18:17:34	ZE344925	processed	N2000990767	Automatic		Dentira
2024-06-10 17:53:52	ZE344984	processed	N2000990728	Automatic		Dentira
2024-06-10 17:35:28	ZE344968	processed	N2000990701	Automatic		Dentira
2024-06-10 17:10:21	ZE138435	processed	N2000990662	Manual	NULL	Dentira
2024-06-10 16:57:52	ZE344941	processed	N2000990635	Automatic		Dentira
2024-06-10 16:57:17	ZE344937	processed	N2000990632	Automatic		Dentira
2024-06-10 16:54:48	ZE344932	processed	N2000990623	Automatic		Dentira
2024-06-10 16:20:45	ZE344904	processed	N2000990527	Automatic		Dentira
2024-06-10 16:20:16	ZE344902	processed	N2000990524	Automatic		Dentira
2024-06-10 16:17:14	ZE344899	processed	N2000990518	Automatic		Dentira
2024-06-10 16:08:25	ZE103674	processed	N2000990491	Manual	NULL	Dentira
2024-06-10 15:36:18	ZE344866	processed	N2000990422	Automatic		Dentira
2024-06-10 15:17:44	ZE344854	processed	N2000990383	Automatic		Dentira
2024-06-10 15:04:03	ZE344841	processed	N2000990347	Automatic		Dentira
2024-06-10 14:53:46	ZE344816	processed	N2000990314	Manual	NULL	Dentira
2024-06-10 14:44:39	ZE194384	processed	N2000990299	Manual	NULL	Dentira
2024-06-10 14:40:39	ZE344832	processed	N2000990290	Automatic		Dentira
2024-06-10 14:37:59	ZE344827	processed	N2000990284	Automatic		Dentira
2024-06-10 14:17:50	ZE344822	processed	N2000990245	Automatic		Dentira
2024-06-10 13:52:02	ZE344794	processed	N2000990182	Automatic		Dentira
2024-06-10 13:46:11	ZE344526	processed	N2000990170	Automatic		Dentira
2024-06-10 13:17:27	ZE344742	processed	N2000990137	Automatic		Dentira
2024-06-10 13:06:28	ZE344769	processed	N2000990125	Automatic		Dentira
2024-06-10 12:35:34	ZE344642	processed	N2000990071	Automatic		Dentira
2024-06-10 12:28:09	ZE344741	processed	N2000990065	Automatic		Dentira
2024-06-10 12:27:44	ZE344573	processed	N2000990062	Automatic		Dentira
2024-06-10 12:27:27	ZE344246	processed	N2000990059	Automatic		Dentira
2024-06-10 12:27:19	ZE344637	processed	N2000990056	Automatic		Dentira
2024-06-10 12:27:14	ZE344182	processed	N2000990053	Automatic		Dentira
2024-06-10 12:25:38	ZE344739	processed	N2000990047	Automatic		Dentira
2024-06-10 12:16:16	ZE344737	processed	N2000990035	Automatic		Dentira
2024-06-10 11:56:53	ZE344730	processed	N2000990029	Automatic		Dentira
2024-06-09 15:57:34	ZE344713	processed	N2000990011	Automatic		Dentira
2024-06-07 21:51:05	ZE344672	processed	N2000989933	Automatic		Dentira
2024-06-07 21:45:15	ZE344669	processed	N2000989927	Automatic		Dentira
2024-06-07 21:36:44	ZE194070	processed	N2000989921	Manual	NULL	Dentira
2024-06-07 21:19:37	ZE344389	processed	N2000989906	Automatic		Dentira
2024-06-07 21:10:36	ZE193949	processed	N2000989891	Manual	NULL	Dentira
2024-06-07 21:05:39	ZE194053	processed	N2000989885	Manual	NULL	Dentira
2024-06-07 21:02:10	ZE344626	processed	N2000989879	Automatic		Dentira
2024-06-07 20:48:04	ZE344614	processed	N2000989864	Automatic		Dentira
2024-06-07 20:31:47	ZE344493	processed	N2000989849	Manual	NULL	Dentira
2024-06-07 20:23:16	ZE344582	processed	N2000989840	Automatic		Dentira
2024-06-07 20:17:29	ZE193989	processed	N2000989828	Manual	NULL	Dentira
2024-06-07 20:06:09	ZE344445	processed	N2000989813	Automatic		Dentira
2024-06-07 19:57:00	ZE232815	processed	N2000989807	Manual	NULL	Dentira
2024-06-07 19:37:50	ZE193089	processed	N2000989786	Manual	NULL	Dentira
2024-06-07 19:32:54	ZE101787	processed	N2000989771	Manual	NULL	Dentira
2024-06-07 19:16:15	ZE344490	processed	N2000989744	Automatic		Dentira
2024-06-07 19:03:02	ZE344478	processed	N2000989723	Automatic		Dentira
2024-06-07 18:35:40	ZE193910	processed	N2000989687	Manual	NULL	Dentira
2024-06-07 18:28:44	ZE193960	processed	N2000989669	Manual	NULL	Dentira
2024-06-07 18:25:34	ZE344436	processed	N2000989666	Automatic		Dentira
2024-06-07 17:44:42	ZE344400	processed	N2000989594	Automatic		Dentira
2024-06-07 17:41:46	ZE344397	processed	N2000989588	Automatic		Dentira
2024-06-07 17:39:21	ZE344395	processed	N2000989579	Automatic		Dentira
2024-06-07 17:37:06	ZE344394	processed	N2000989573	Automatic		Dentira
2024-06-07 16:48:06	ZE344341	processed	N2000989534	Automatic		Dentira
2024-06-07 16:21:14	ZE344323	processed	N2000989483	Automatic		Dentira
2024-06-07 16:08:25	ZE344319	processed	N2000989441	Automatic		Dentira
2024-06-07 15:57:50	ZE193902	processed	N2000989420	Manual	NULL	Dentira
2024-06-07 15:44:55	ZE192184	processed	N2000989411	Manual	NULL	Dentira
2024-06-07 15:38:57	ZE344191	processed	N2000989405	Automatic		Dentira
2024-06-07 15:36:01	ZE193792	processed	N2000989402	Manual	NULL	Dentira
2024-06-07 14:58:58	ZE344274	processed	N2000989381	Automatic		Dentira
2024-06-07 14:47:47	ZE232492	processed	N2000989357	Manual	NULL	Dentira
2024-06-07 14:45:03	ZE344269	processed	N2000989354	Automatic		Dentira
2024-06-07 14:44:11	ZE111602	processed	N2000989351	Manual	NULL	Dentira
2024-06-07 14:35:33	ZE344260	processed	N2000989339	Automatic		Dentira
2024-06-07 14:21:27	ZE344240	processed	N2000989324	Automatic		Dentira
2024-06-07 13:56:55	ZE101781	processed	N2000989291	Manual	NULL	Dentira
2024-06-07 13:43:59	ZE343966	processed	N2000989285	Automatic		Dentira
2024-06-07 12:54:50	ZE193863	processed	N2000989261	Manual	NULL	Dentira
2024-06-07 12:51:34	ZE344161	processed	N2000989258	Automatic		Dentira
2024-06-07 12:48:17	ZE344116	processed	N2000989255	Automatic		Dentira
2024-06-07 12:47:43	ZE344155	processed	N2000989252	Automatic		Dentira
2024-06-07 12:23:28	ZE344141	processed	N2000989222	Automatic		Dentira
2024-06-07 00:07:31	ZE344110	processed	N2000989201	Automatic		Dentira
2024-06-06 21:54:45	ZE344079	processed	N2000989096	Automatic		Dentira
2024-06-06 21:12:27	ZE101219	processed	N2000989018	Manual	Sonja Knight	Dentira
2024-06-06 20:59:19	ZE344034	processed	N2000988997	Automatic		Dentira
2024-06-06 20:47:18	ZE193724	processed	N2000988979	Manual	NULL	Dentira
2024-06-06 20:39:19	ZE344005	processed	N2000988964	Automatic		Dentira
2024-06-06 20:35:10	ZE343885	processed	N2000988946	Automatic		Dentira
2024-06-06 20:27:12	ZE193714	processed	N2000988907	Manual	NULL	Dentira
2024-06-06 20:20:16	ZE343984	processed	N2000988883	Automatic		Dentira
2024-06-06 20:13:46	ZE343974	processed	N2000988856	Automatic		Dentira
2024-06-06 20:13:42	ZE343972	processed	N2000988853	Automatic		Dentira
2024-06-06 20:03:51	ZE232460	processed	N2000988811	Manual	NULL	Dentira
2024-06-06 19:59:36	ZE343945	processed	N2000988796	Automatic		Dentira
2024-06-06 19:36:06	ZE190075	processed	N2000988751	Manual	NULL	Dentira
2024-06-06 19:31:12	ZE190021	processed	N2000988748	Manual	NULL	Dentira
2024-06-06 19:24:06	ZE343905	processed	N2000988733	Automatic		Dentira
2024-06-06 19:12:38	ZE193636	processed	N2000988706	Manual	NULL	Dentira
2024-06-06 19:10:35	ZE343897	processed	N2000988697	Automatic		Dentira
2024-06-06 19:10:07	ZE190174	processed	N2000988691	Manual	NULL	Dentira
2024-06-06 19:07:50	ZE192640	processed	N2000988685	Manual	NULL	Dentira
2024-06-06 19:05:20	ZE193316	processed	N2000988676	Manual	NULL	Dentira
2024-06-06 19:02:03	ZE103584	processed	N2000988667	Manual	NULL	Dentira
2024-06-06 18:48:15	ZE343880	processed	N2000988637	Automatic		Dentira
2024-06-06 18:29:10	ZE343857	processed	N2000988595	Automatic		Dentira
2024-06-06 17:46:10	ZE193593	processed	N2000988544	Manual	NULL	Dentira
2024-06-06 17:43:06	ZE138352	processed	N2000988532	Manual	NULL	Dentira
2024-06-06 17:39:24	ZE343801	processed	N2000988529	Automatic		Dentira
2024-06-06 17:14:59	ZE343780	processed	N2000988478	Automatic		Dentira
2024-06-06 16:42:12	ZE343765	processed	N2000988412	Automatic		Dentira
2024-06-06 16:35:13	ZE111569	processed	N2000988388	Manual	NULL	Dentira
2024-06-06 16:35:11	ZE343760	processed	N2000988391	Automatic		Dentira
2024-06-06 16:31:17	ZE121911	processed	N2000988379	Manual	NULL	Dentira
2024-06-06 16:18:14	ZE190697	processed	N2000988361	Manual	NULL	Dentira
2024-06-06 16:09:51	ZE343733	processed	N2000988331	Automatic		Dentira
2024-06-06 16:06:28	ZE343728	processed	N2000988316	Automatic		Dentira
2024-06-06 16:04:53	ZE343720	processed	N2000988310	Automatic		Dentira
2024-06-06 16:02:58	ZE193357	processed	N2000988307	Manual	NULL	Dentira
2024-06-06 15:57:26	ZE343707	processed	N2000988292	Automatic		Dentira
2024-06-06 15:52:07	ZE190069	processed	N2000988280	Manual	NULL	Dentira
2024-06-06 15:46:01	ZE343605	processed	N2000988271	Manual	NULL	Dentira
2024-06-06 15:24:09	ZE343649	processed	N2000988217	Automatic		Dentira
2024-06-06 15:21:47	ZE343679	processed	N2000988208	Automatic		Dentira
2024-06-06 15:15:44	ZE343665	processed	N2000988184	Automatic		Dentira
2024-06-06 15:13:58	ZE343662	processed	N2000988181	Automatic		Dentira
2024-06-06 15:09:16	ZE109600	processed	N2000988169	Manual	NULL	Dentira
2024-06-06 15:09:01	ZE343657	processed	N2000988172	Automatic		Dentira
2024-06-06 15:06:50	ZE343656	processed	N2000988166	Automatic		Dentira
2024-06-06 15:06:37	ZE193390	processed	N2000988163	Manual	NULL	Dentira
2024-06-06 15:04:02	ZE193338	processed	N2000988157	Manual	NULL	Dentira
2024-06-06 15:01:08	ZE193328	processed	N2000988148	Manual	NULL	Dentira
2024-06-06 14:57:54	ZE189692	processed	N2000988136	Manual	NULL	Dentira
2024-06-06 14:35:29	ZE343637	processed	N2000988109	Automatic		Dentira
2024-06-06 13:57:56	ZE343607	processed	N2000988040	Automatic		Dentira
2024-06-06 13:25:52	ZE343373	processed	N2000988013	Automatic		Dentira
2024-06-06 13:00:17	ZE343561	processed	N2000987980	Automatic		Dentira
2024-06-06 12:58:51	ZE343464	processed	N2000987977	Automatic		Dentira
2024-06-05 22:05:13	ZE188232	processed	N2000987851	Manual	NULL	Dentira
2024-06-05 22:01:48	ZE193275	processed	N2000987842	Manual	NULL	Dentira
2024-06-05 21:58:35	ZE193247	processed	N2000987836	Manual	NULL	Dentira
2024-06-05 21:56:07	ZE186525	processed	N2000987833	Manual	NULL	Dentira
2024-06-05 21:53:19	ZE186526	processed	N2000987824	Manual	NULL	Dentira
2024-06-05 21:50:31	ZE188116	processed	N2000987815	Manual	NULL	Dentira
2024-06-05 21:44:56	ZE343449	processed	N2000987803	Automatic		Dentira
2024-06-05 21:28:02	ZE343456	processed	N2000987770	Automatic		Dentira
2024-06-05 20:58:44	ZE343432	processed	N2000987728	Automatic		Dentira
2024-06-05 20:56:32	ZE119910	processed	n2000987722	Manual	NULL	Dentira
2024-06-05 20:52:33	ZE343228	processed	N2000987707	Automatic		Dentira
2024-06-05 20:36:49	ZE343408	processed	N2000987668	Automatic		Dentira
2024-06-05 20:26:10	ZE100982	processed	N2000987635	Manual	Ana Munguia	Dentira
2024-06-05 20:24:14	ZE343390	processed	N2000987629	Automatic		Dentira
2024-06-05 20:09:30	ZE343381	processed	N2000987572	Automatic		Dentira
2024-06-05 20:06:18	ZE110660	processed	N2000987560	Manual	NULL	Dentira
2024-06-05 20:02:38	ZE342931	processed	N2000987545	Automatic		Dentira
2024-06-05 19:59:23	ZE343355	processed	N2000987527	Automatic		Dentira
2024-06-05 19:57:36	ZE343350	processed	N2000987524	Automatic		Dentira
2024-06-05 19:52:40	ZE343342	processed	N2000987509	Automatic		Dentira
2024-06-05 19:43:45	ZE343337	processed	N2000987491	Automatic		Dentira
2024-06-05 19:41:01	ZE343328	processed	N2000987479	Automatic		Dentira
2024-06-05 19:37:21	ZE343321	processed	N2000987470	Automatic		Dentira
2024-06-05 19:36:04	ZE193127	processed	N2000987458	Manual	NULL	Dentira
2024-06-05 19:32:43	ZE343317	processed	N2000987452	Automatic		Dentira
2024-06-05 19:17:26	ZE193071	processed	N2000987425	Manual	NULL	Dentira
2024-06-05 19:12:32	ZE343300	processed	N2000987410	Automatic		Dentira
2024-06-05 19:09:51	ZE193053	processed	N2000987407	Manual	Sonja Knight	Dentira
2024-06-05 19:09:23	ZE343289	processed	N2000987404	Automatic		Dentira
2024-06-05 19:06:41	ZE343253	processed	N2000987395	Automatic		Dentira
2024-06-05 19:01:38	ZE193038	processed	N2000987383	Manual	NULL	Dentira
2024-06-05 18:51:40	ZE231317	processed	N2000987359	Manual	NULL	Dentira
2024-06-05 18:45:19	ZE343219	processed	N2000987332	Automatic		Dentira
2024-06-05 17:31:01	ZE343189	processed	N2000987191	Automatic		Dentira
2024-06-05 17:06:11	ZE343103	processed	N2000987122	Automatic		Dentira
2024-06-05 16:38:58	ZE342845	processed	N2000987056	Automatic		Dentira
2024-06-05 16:32:06	ZE343059	processed	N2000987029	Automatic		Dentira
2024-06-05 16:22:45	ZE343152	processed	N2000987011	Automatic		Dentira
2024-06-05 16:11:28	ZE101759	processed	N2000986969	Manual	NULL	Dentira
2024-06-05 15:52:36	ZE343127	processed	N2000986939	Automatic		Dentira
2024-06-05 15:19:04	ZE192889	processed	N2000986861	Manual	NULL	Dentira
2024-06-05 15:15:39	ZE231630	processed	N2000986846	Manual	NULL	Dentira
2024-06-05 15:12:36	ZE231384	processed	N2000986843	Manual	NULL	Dentira
2024-06-05 15:01:33	ZE343077	processed	N2000986810	Automatic		Dentira
2024-06-05 14:40:39	ZE192701	processed	N2000986771	Manual	NULL	Dentira
2024-06-05 14:36:30	ZE192808	processed	N2000986762	Manual	NULL	Dentira
2024-06-05 14:34:10	ZE192720	processed	N2000986747	Manual	NULL	Dentira
2024-06-05 14:11:42	ZE343046	processed	N2000986693	Automatic		Dentira
2024-06-05 13:49:50	ZE343030	processed	N2000986636	Automatic		Dentira
2024-06-05 13:43:54	ZE343027	processed	N2000986633	Automatic		Dentira
2024-06-05 13:18:01	ZE342748	processed	N2000986609	Automatic		Dentira
2024-06-05 13:12:49	ZE342924	processed	N2000986597	Automatic		Dentira
2024-06-05 12:59:22	ZE342580	processed	N2000986582	Automatic		Dentira
2024-06-05 12:58:37	ZE342706	processed	N2000986579	Automatic		Dentira
2024-06-05 12:20:54	ZE342968	processed	N2000986516	Automatic		Dentira
2024-06-05 11:45:27	ZE342957	processed	N2000986489	Automatic		Dentira
2024-06-05 11:42:56	ZE342950	processed	N2000986486	Automatic		Dentira
2024-06-05 11:35:47	ZE342946	processed	N2000986480	Automatic		Dentira
2024-06-05 11:31:30	ZE342944	processed	N2000986477	Automatic		Dentira
2024-06-05 11:26:40	ZE342717	processed	N2000986474	Automatic		Dentira
2024-06-05 11:26:35	ZE342680	processed	N2000986471	Automatic		Dentira
2024-06-05 11:26:27	ZE342861	processed	N2000986468	Automatic		Dentira
2024-06-05 11:26:21	ZE342943	processed	N2000986465	Automatic		Dentira
2024-06-04 23:16:45	ZE342913	processed	N2000986411	Automatic		Dentira
2024-06-04 22:56:26	ZE342907	processed	N2000986399	Automatic		Dentira
2024-06-04 22:15:02	ZE342879	processed	N2000986366	Automatic		Dentira
2024-06-04 21:34:31	ZE342843	processed	N2000986294	Automatic		Dentira
2024-06-04 21:17:05	ZE192582	processed	N2000986243	Manual	NULL	Dentira
2024-06-04 21:11:25	ZE101175	processed	N2000986237	Manual	NULL	Dentira
2024-06-04 21:10:33	ZE192457	processed	N2000986234	Manual	NULL	Dentira
2024-06-04 21:06:36	ZE109799	processed	N2000986228	Manual	NULL	Dentira
2024-06-04 21:05:53	ZE342820	processed	N2000986225	Automatic		Dentira
2024-06-04 20:58:47	ZE119653	processed	N2000986210	Manual	NULL	Dentira
2024-06-04 20:39:45	ZE192464	processed	N2000986183	Manual	NULL	Dentira
2024-06-04 20:38:00	ZE192288	processed	N2000986174	Manual	NULL	Dentira
2024-06-04 20:35:03	ZE342775	processed	N2000986165	Automatic		Dentira
2024-06-04 20:34:01	ZE342772	processed	N2000986159	Automatic		Dentira
2024-06-04 20:29:04	ZE192353	processed	N2000986132	Manual	NULL	Dentira
2024-06-04 20:28:39	ZE342385	processed	N2000986138	Automatic		Dentira
2024-06-04 19:46:14	ZE342597	processed	N2000986027	Automatic		Dentira
2024-06-04 19:45:46	ZE342640	processed	N2000986021	Automatic		Dentira
2024-06-04 19:33:34	ZE342691	processed	N2000985988	Automatic		Dentira
2024-06-04 19:18:03	ZE342674	processed	N2000985949	Automatic		Dentira
2024-06-04 18:47:08	ZE342637	processed	N2000985889	Automatic		Dentira
2024-06-04 18:34:40	ZE342623	processed	N2000985856	Automatic		Dentira
2024-06-04 18:16:32	ZE342605	processed	N2000985817	Automatic		Dentira
